Unnamed: 0,이름,세부장르,장소,일시,출연진,Staff,줄거리
1,22년 2개월,창작,링크아트센터 벅스홀,2023.08.31 ~ 2023.11.05,"유승현, 양지원, 이재환, 최수진, 강혜인, 홍나현, 유성재, 안창용, 정호준, 이현재, 박세훈, 성재, 정종환, 박상선, 신요셉","다미로, 박지혜, 채현원","1919년, 혼란스러운 조선을 떠나 동경으로 가는 배 안. 쫓기던 박열은 도망치던 중 가네코와 부딪히게 되고 서로의 책이 바뀌게 된다. 가네코의 당당함과 매력에 영감을 받은 박열은 시를 써 ‘조선 청년‘에 기고하고, 가네코는 박열의 시에 한눈에 매료된다. 무정부주의를 꿈꾸며 일본 황태자의 암살을 계획하던 박열은 가네코와 함께하는 것이 걸림돌이 될 수 있음을 직감하며 그녀를 떠나려 하지만, 1923년 찾아온 관동대지진의 혼란 속에서 두 사람은 서로에 대한 사랑을 다시 한번 확인한다.그러나, 일본 정부와 시민 자경단에 의해 박열과 가네코는 구속되고 황태자를 암살하려 했다는 계획이 밝혀지는데 이 이야기는 역사적 사실을 기반을 토대로 극적으로 재구성하였습니다."
2,고고다이노,어린이/가족,백암아트홀,2023.09.23 ~ 2023.10.29,,"김종해, 안영은",
3,고두영의 키즈 매직쇼 - 화성,어린이/가족,더퍼포머 씨어터,2023.05.27 ~ 2023.11.26,고두영,고두영,
4,곤 투모로우,"창작2023.08.10 ~ 2023.10.22광림아트센터 BBCH홀강필석, 최재웅, 고훈정, 조형균, 김재범, 신성민, 백형훈, 윤소호, 고영빈, 박영수, 김준수, 김태한, 임별, 김민철, 차형도최종윤, 이지나, 김성수, 심새인",광림아트센터 BBCH홀,2023.08.10 ~ 2023.10.22,"강필석, 최재웅, 고훈정, 조형균, 김재범, 신성민, 백형훈, 윤소호, 고영빈, 박영수, 김준수, 김태한, 임별, 김민철, 차형도","최종윤, 이지나, 김성수, 심새인","1884년 조선, 밖으로는 서구열강과 청, 일본의 이권쟁탈이 가속화되고, 안으로는 혼란스러운 정세를 틈타 간신들이 활개치던 시기. ‘고종’은 젊은 개화파 지식인 ‘김옥균’에게 개혁의 의지를 위탁하여 혁명을 도모한다. 하지만 청군의 개입과 일본의 배신으로 갑신정변은 3일만에 막을 내리고, ‘김옥균’은 조선을 떠나 일본으로 망명한다. 한편, 족보를 팔아 불란서로 건너 간 ‘한정훈’은 고종의 부름에 조선으로 돌아오게 되고, 불란서 최초의 유학생 ‘홍종우’의 이름으로 ‘옥균’에게 접근, 암살할 것을 명 받는다. 그러나 본래 의도와는 다르게 옥균을 만난 후 정훈은 깊은 고뇌에 빠지게 되는데…"
5,구텐버그,라이선스,플러스씨어터 (구. 컬처스페이스 엔유),2023.08.02 ~ 2023.10.22,"정민, 최호승, 정욱진, 기세중, 선한국, 정휘",김보영,"열정 넘치는 무명 뮤지컬 작가 “더그”와 작곡가 “버드“ 드!디!어! 앤드류 로이드 웨버도, 카매론 매킨토시도 두려워할! 필생의 역작! 뮤지컬 <구텐버그>를 완성하고 말았다! 그들은 과연 유-우-명한 브로드웨이 프로듀서를 만날 수 있을까?"
6,김종욱 찾기,창작,"브릭스 씨어터 (구, 콘텐츠 그라운드)",2022.11.18 ~ 2023.10.31,"김시울, 이재형, 정현준, 홍차민, 김건영, 김소정, 김재희, 배다솜, 서지우, 심설빈, 문준혁, 박형석, 안지후, 윤병일, 이광진","장유정, 김혜성, 황두수,  정명진",
7,난타 - 명동,퍼포먼스,명동 난타 전용관,2022.07.08 ~ 2024.03.31,,,
8,난타 - 제주,창작,제주 난타 전용극장,2017.01.10 ~ 오픈런,,,
9,내일은 스타,창작,스타스테이지 (구 원패스아트홀),2023.08.26 ~ 2023.10.29,차건수,"이정민, 박용신","한동우는 어릴 적부터 사촌형 남진의 영향을 받아 가수의 꿈을 키운다. 서울의 예술고등학교에 입학하게 된 동우는 자신의 정신적인 지주인 사촌 형과 함께 옥탑에서 생활을 한다. 동우는 학교에서 최선호, 강한나, 이리라 등을 알게되고 사촌 형과 함께 거주하는 옥탑을 아지트로 서로의 꿈 얘기를 하며 절친이 되어간다. 이 이야기는 서로 다른 환경에서 자란 네 명의 예술고등학교 1학년 학생들의 꿈과 방향 그리고 외부 또는 내부의 요인으로 겪게 되는 갈등 속에서 한층 성장해가는 과정을 밝게 풀어낸 작품이다."
10,뉴미디어뮤지컬 - 제주,창작,노형수퍼마켙,2023.08.22 ~ 2023.12.31,,,"어디에나 있을 법한 어디에도 없을 소녀, '오늘이'는 언젠가부터 그렇게 이름 불렸다. 의미없이 흘러가는 수많은 오늘을 보내고, 수없이 스쳐지나는 인연들 속을 헤메이고 있을 때. 삼천년 묵은 이무기 '바리'가 그녀 앞에 나타난다.“삼천년의 덕을 쌓았으나 아직 용이 되지 못했다. 네 부모에게 데려다 줄 테니 그 이유를 알려다오."" 이미 너무 많은걸 깨달은 듯한, 그는 존재의 이유를 찾고자 오늘이에게 거래를 제안한다. 부모에게 데려다 줄테니 자신이 왜 용으로 승천 못하는지 이유를 알려달라고. 찰나의 순간을 살아가는 소녀와 셀 수 없이 많은 순간을 쌓은 이무기는 그렇게 서로에게 필요한 존재가 된다. ·저기 먼 남쪽, 이승과 저승의 경계에 있다는 원천강. 사계절과 시간을 관리하는 신, 오늘이의 부모를 찾는 두사람의 여행이 시작된다. “삶을 사는 것. 그것만으로 충분해.” 흐르는 시간속에 영원으로 남을, 두사람의 화양연화."
